filename,page_number,chunk_number,chunk
clothing_brand_employee_report_2023_termination_exact_year.pdf,1,1,Clothing Brand Employee Annual Wage Report - 2023 Employer Employee Fullname SSN Date of Hire Termination Date Reported Year Annual Salary Wages Q1 Wages Q2 Wages Q3 Wages Q4 Resident ChicWave Clothing Aaron Hogan 410-83-1434 2016-08-10 2023 116914.21 28882.18 29434.02 29538.18 29059.83 North Dakota ChicWave Clothing Abigail Johnson 258-02-2920 2021-03-28 2023-07-16 2023 52718.83 13218.05 12744.21 13607.61 13148.96 Michigan ChicWave Clothing Adriana Smith 097-27-1648 2018-08-27 2023 105061.97 25876.42 26162.71 26532.6 26490.24 Kentucky ChicWave Clothing Alejandro Kirby 672-12-6927 2015-08-25 2023 99254.0 25143.99 25269.24 24945.38 23895.39 Texas ChicWave Clothing Alex Harrell 778-89-9399 2018-05-23 2023 41485.33 10554.77 10607.25 10721.23 9602.
clothing_brand_employee_report_2023_termination_exact_year.pdf,1,2,08 Wyoming ChicWave Clothing Alex Henry 258-99-4798 2017-12-17 2023-07-13 2023 94492.92 23791.46 23388.4 24049.62 23263.44 Hawaii ChicWave Clothing Alexander Taylor 471-89-4139 2016-01-02 2023 41877.78 10952.5 10277.78 10856.87 9790.63 Wisconsin ChicWave Clothing Alexis Miller 624-73-4032 2013-12-02 2023 83343.88 20872.36 20916.88 20915.97 20638.67 Michigan ChicWave Clothing Alexis Sanchez MD 621-46-8591 2018-03-21 2023 102357.93 25294.91 25538.8 25891.39 25632.83 New Mexico ChicWave Clothing Alice Whitehead 658-21-3639 2016-01-14 2023 46082.83 11324.62 11525.32 11416.7 11816.19 Florida ChicWave Clothing Alicia Davis 518-90-3337 2021-08-08 2023 109183.9 27307.21 26851.71 27637.06 27387.92 Maine ChicWave Clothing Alison Lamb 255-11-9350 2021-03-
clothing_brand_employee_report_2023_termination_exact_year.pdf,1,3,22 2023 50809.01 12744.3 12215.56 12874.63 12974.52 North Carolina ChicWave Clothing Allen Velez 172-67-9594 2021-12-08 2023-12-04 2023 104849.23 26191.89 26508.29 26696.61 25452.44 Maine ChicWave Clothing Alyssa Adams 852-61-8644 2020-11-15 2023 47588.02 11721.31 11954.53 11621.39 12290.79 Arizona ChicWave Clothing Amanda Garcia 754-77-3282 2020-11-23 2023 46621.3 11688.33 11715.24 11403.94 11813.79 Tennessee ChicWave Clothing Amanda Goodman 855-78-7261 2016-12-10 2023 59839.68 14612.29 14718.17 14944.84 15564.38 Maryland ChicWave Clothing Amanda Hampton 383-05-0170 2018-05-17 2023-04-28 2023 36849.63 9073.0 9304.59 9067.04 9405.0 Alaska ChicWave Clothing Amber Edwards 303-15-1756 2016-10-26 2023 61485.96 15556.77 15723.68 15622.3 14583.21 New
clothing_brand_employee_report_2023_termination_exact_year.pdf,1,4, Mexico ChicWave Clothing Amber Jackson 838-76-3966 2021-09-07 2023 64338.65 16514.56 15723.76 16549.15 15551.18 Minnesota ChicWave Clothing Amy Chandler 738-88-5280 2013-09-21 2023 67058.51 16278.72 17152.11 17140.75 16486.93 Iowa ChicWave Clothing Ana Martinez 469-79-5625 2020-04-04 2023 43559.55 11232.89 11196.66 10975.09 10154.91 Louisiana ChicWave Clothing Andrea Rios 318-95-6144 2017-05-03 2023-01-01 2023 74895.13 18635.92 18465.09 18888.86 18905.26 Vermont ChicWave Clothing Andrew Archer 706-13-3388 2021-01-07 2023 36409.13 9106.85 9031.45 8763.92 9506.91 Idaho ChicWave Clothing Andrew Daugherty 289-40-2040 2017-06-04 2023 80735.49 20585.78 20658.63 20041.99 19449.09 Minnesota ChicWave Clothing Andrew Wiley 163-13-3572 2017-02-10 2023 11
clothing_brand_employee_report_2023_termination_exact_year.pdf,1,5,1510.48 27737.58 28217.43 28301.66 27253.81 Idaho ChicWave Clothing Angela Anderson 073-66-2137 2018-10-09 2023 63274.26 15643.23 15385.16 15351.31 16894.56 Wisconsin ChicWave Clothing Angela Campbell 192-18-5670 2013-12-11 2023-08-19 2023 70009.89 17337.6 17318.19 17372.91 17981.19 Indiana ChicWave Clothing Angela Johnson 175-59-1519 2016-03-19 2023 113073.89 28467.55 28400.13 28523.79 27682.42 New York ChicWave Clothing Angela Lara 733-94-5194 2014-11-20 2023 85061.84 20910.72 20871.03 21044.33 22235.76 North Dakota ChicWave Clothing Ann Stanley 737-48-9595 2018-07-26 2023 85820.6 21147.31 21433.26 20959.28 22280.75 Wyoming ChicWave Clothing Anna Davis 234-32-3204 2015-01-26 2023 110249.49 27178.84 27370.91 27244.83 28454.91 Pennsylvania Page 1
clothing_brand_employee_report_2023_termination_exact_year.pdf,2,1,Clothing Brand Employee Annual Wage Report - 2023 ChicWave Clothing Anthony Hall 450-16-8441 2017-02-11 2023 104890.25 26249.78 26263.49 25942.04 26434.94 Wisconsin ChicWave Clothing Anthony Sherman 142-23-3417 2021-08-17 2023-10-25 2023 92906.69 23676.2 23279.81 22824.9 23125.78 Wyoming ChicWave Clothing April Summers 534-81-8673 2014-02-27 2023 90679.78 22732.64 22722.18 22847.26 22377.7 Arizona ChicWave Clothing Ashlee Harrison 120-92-9392 2018-05-20 2023 106573.38 26858.09 26425.74 26935.79 26353.76 North Dakota ChicWave Clothing Ashley Anderson 702-28-4256 2019-02-13 2023 97453.49 24637.56 24822.94 24416.4 23576.59 Texas ChicWave Clothing Ashley Freeman 871-97-5314 2014-02-09 2023-03-01 2023 106035.16 26285.55 26422.23 26676.49 26650.89 L
clothing_brand_employee_report_2023_termination_exact_year.pdf,2,2,ouisiana ChicWave Clothing Ashley Olsen 504-54-8258 2016-02-09 2023 34600.22 8423.49 8770.28 8350.1 9056.35 Indiana ChicWave Clothing Ashley Taylor 381-13-0044 2014-04-04 2023 91629.8 22785.44 22873.53 23094.44 22876.39 Nevada ChicWave Clothing Benjamin Garcia 607-41-2340 2016-10-01 2023-03-05 2023 81990.66 20847.33 20618.4 20983.0 19541.93 Massachusetts ChicWave Clothing Blake Mills 235-32-1918 2020-10-15 2023 53015.69 13521.46 13536.69 13521.15 12436.39 California ChicWave Clothing Bradley Mullen 534-12-6252 2018-12-31 2023 97061.2 24337.43 24230.58 23769.2 24723.99 Pennsylvania ChicWave Clothing Brandi Bishop 413-83-1028 2016-11-03 2023 32909.57 7839.7 8572.44 7789.22 8708.21 Tennessee ChicWave Clothing Brandi Robinson 360-31-3332 2016-03-1
clothing_brand_employee_report_2023_termination_exact_year.pdf,2,3,5 2023 95980.78 23513.53 24303.33 24491.86 23672.06 Arkansas ChicWave Clothing Brandon Burton 161-63-0399 2015-10-10 2023 98524.17 24621.05 24203.0 25068.26 24631.86 Indiana ChicWave Clothing Brandon Johnson 322-37-1304 2018-08-15 2023 53589.42 13045.36 13318.28 13444.32 13781.46 Oklahoma ChicWave Clothing Brandon Wilson 048-43-3795 2021-04-11 2023 93241.42 23459.17 23518.75 23665.55 22597.95 Tennessee ChicWave Clothing Brenda Cole 773-37-4307 2017-05-10 2023 104520.43 26529.65 26468.05 25701.4 25821.33 Rhode Island ChicWave Clothing Brett Davis 218-79-1698 2018-05-26 2023 83469.43 21362.58 21207.63 21056.16 19843.06 Kansas ChicWave Clothing Brett Olson 244-76-5707 2021-08-05 2023 57198.27 14076.68 14194.27 14337.29 14590.03 Idaho ChicWave Clo
clothing_brand_employee_report_2023_termination_exact_year.pdf,2,4,thing Brian Boyer 515-30-9362 2020-04-09 2023 33414.64 8068.13 7933.42 8540.57 8872.52 Mississippi ChicWave Clothing Brian Conrad 154-25-8142 2017-11-23 2023 115388.23 28761.83 28518.38 28546.16 29561.86 Louisiana ChicWave Clothing Brian Young 023-33-5227 2014-12-19 2023 86985.68 22076.49 22141.64 21283.02 21484.53 Nevada ChicWave Clothing Bridget Kelly 641-19-9664 2015-07-10 2023 65823.45 16922.85 16477.17 16032.59 16390.84 Illinois ChicWave Clothing Brittany Curtis 749-50-1086 2021-05-21 2023 86307.04 21875.47 21892.75 21629.67 20909.15 Oklahoma ChicWave Clothing Bryce Rodriguez 695-88-4141 2017-11-27 2023-04-07 2023 111922.36 27742.26 28462.52 27840.38 27877.2 West Virginia ChicWave Clothing Cameron Prince 212-94-0457 2021-08-17 2023 87493.
clothing_brand_employee_report_2023_termination_exact_year.pdf,2,5,95 21790.28 21960.6 22342.54 21400.53 Louisiana ChicWave Clothing Candice Johnston 280-64-3879 2015-04-24 2023-11-26 2023 32413.85 7911.04 8447.43 8461.56 7593.82 Maine ChicWave Clothing Carl Hunter 820-01-9637 2021-04-07 2023 108758.54 26865.6 27139.73 27075.48 27677.73 Georgia ChicWave Clothing Carl Orozco 787-41-2391 2021-09-19 2023-08-03 2023 85580.07 21718.43 21141.12 21415.77 21304.75 Delaware ChicWave Clothing Carla Garcia 508-64-8792 2015-10-19 2023 80786.7 20588.19 19853.66 19755.3 20589.55 South Dakota ChicWave Clothing Carol Hernandez 001-15-9819 2018-12-30 2023 94622.73 23712.19 23300.03 24017.4 23593.11 Alabama ChicWave Clothing Carolyn Romero 732-23-2256 2015-01-03 2023 87982.89 21761.06 22366.95 22445.15 21409.73 Oklahoma Page 2
